name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Ho Chi Minh City, VN",6/23/2023,92.3,81.5,85.3,93.6,81.4,84.8,68.7,86.9,0.11,98,78.5,rain,0,0,22.2,13.4,76.4,1009.7,84.4,13.6,104.3,3.8,2,0,2023-06-23T05:39:00,2023-06-23T18:15:00,0.86,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",6/24/2023,88.2,81,83.2,89.9,79,84.1,70.6,91.3,0.28,87,30.7,rain,0,0,17.4,11.7,5.7,1006.7,98,12.8,247.4,8.9,9,0,2023-06-24T05:32:00,2023-06-24T18:13:00,0.9,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",6/25/2023,89,78.7,82,91.1,78.6,81.6,65.5,84.7,0.13,42,23.2,rain,0,0,14.2,8.9,205.4,1010.4,96.8,15.1,233,8.4,10,10,2023-06-25T05:42:00,2023-06-25T18:08:00,0.93,Partially cloudy,"Mưa, nhiệt độ vừa, độ ẩm cao.",partly-cloudy-day,VVTS
"Ho Chi Minh City, VN",6/26/2023,91.7,84,86.5,93.5,83.2,85.5,75.6,95.4,0.38,85,76.3,rain,0,0,22.2,13.2,161.8,1006.7,92.9,14.3,260.6,9.4,8,0,2023-06-26T05:32:00,2023-06-26T18:00:00,0.97,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",6/27/2023,92.4,80.8,85,93.9,80.8,84.7,69.9,87.4,0.17,72,74.8,rain,0,0,15.4,9.1,202.8,1011.6,80.6,16.3,314.4,11.3,9,0,2023-06-27T05:39:00,2023-06-27T18:12:00,0,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",6/28/2023,91.2,83.7,86,92.6,82.8,86.4,69.2,81.8,0.23,69,75.3,rain,0,0,16.6,13.6,126.9,1007.5,74.3,12.4,134.5,4.8,11,0,2023-06-28T05:39:00,2023-06-28T18:11:00,0.03,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",6/29/2023,87.9,79.3,83,89,78.8,83.2,72.6,83.9,0.15,91,79.9,rain,0,0,18.9,14,351.6,1012.7,84.7,14.7,128.7,4.6,6,0,2023-06-29T05:35:00,2023-06-29T18:03:00,0.07,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",6/30/2023,92.6,85.2,88.3,95.2,84.3,88,70.5,97.7,0.58,69,37.5,rain,0,0,25.3,16.3,117.3,1006.1,91,17.2,173.2,6.2,8,0,2023-06-30T05:38:00,2023-06-30T18:00:00,0.1,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/1/2023,94,82.6,86.7,95.4,81.6,87.9,71.7,68.2,1.31,65,55.8,rain,0,0,15,10.2,358.7,1008.6,90.8,16.5,209,7.5,7,0,2023-07-01T05:49:00,2023-07-01T18:00:00,0.14,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm trung bình.",rain,VVTS
"Ho Chi Minh City, VN",7/2/2023,90.2,81.4,83.7,93,80.2,83.2,75.6,90.3,0.1,64,38,rain,0,0,23.8,16.2,80.7,1011.4,95.7,12.1,257.9,9.3,4,0,2023-07-02T05:36:00,2023-07-02T18:02:00,0.17,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/3/2023,91.8,84.3,87.4,93.3,82.4,87.2,75.5,100,0.58,79,55.1,rain,0,0,20.6,13.6,177.3,1005.8,97.5,12.4,224.1,8.1,5,0,2023-07-03T05:46:00,2023-07-03T18:13:00,0.2,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/4/2023,95.1,82.3,87.2,96.7,81.6,88.8,70.7,80.6,0.34,67,76.8,rain,0,0,16.8,13.1,221.4,1009.2,100,18.2,243.6,8.8,8,0,2023-07-04T05:45:00,2023-07-04T18:06:00,0.24,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/5/2023,94.9,83,87.6,96.9,82,89.4,71.6,83.2,0.58,94,74.5,rain,0,0,19.4,14,135.2,1008.9,92,12.4,173.3,6.2,2,0,2023-07-05T05:46:00,2023-07-05T18:19:00,0.27,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/6/2023,90.7,83.6,86.5,92.3,82,87.1,75.8,87.6,0.65,82,39.7,rain,0,0,19.7,15.7,47.8,1007.5,81.1,14.7,279.6,10.1,5,0,2023-07-06T05:38:00,2023-07-06T18:11:00,0.31,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/7/2023,88,80.7,83.4,90.5,79.3,84.1,72.6,85.3,0.26,100,42.4,rain,0,0,19.6,14.1,272.8,1006.2,95.3,17.3,197,7.1,0,0,2023-07-07T05:34:00,2023-07-07T18:09:00,0.34,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/8/2023,91.6,79.1,83.8,92.6,77.2,83.5,70.7,100,0.39,81,77.2,rain,0,0,22.1,14.4,206.4,1008.2,96.4,15.7,222.3,8,8,0,2023-07-08T05:37:00,2023-07-08T18:09:00,0.37,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/9/2023,89.3,81.3,84.5,91.6,80.7,83.6,69.9,81.1,0.22,98,43,rain,0,0,15.5,9,249.4,1008.7,96.4,14.4,174.7,6.3,6,0,2023-07-09T05:32:00,2023-07-09T18:16:00,0.41,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/10/2023,93.7,84.4,86.8,95.9,82.7,86.5,73.2,94.1,0.5,58,41.9,rain,0,0,19.6,13.1,140.3,1008.1,63,13.2,179.4,6.5,7,10,2023-07-10T05:49:00,2023-07-10T18:18:00,0.44,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/11/2023,88.5,80.3,84.1,89.9,78.4,84.8,68.3,87.9,1.14,100,64.4,rain,0,0,21.4,12.5,312.1,1007.5,86.9,18.6,132.2,4.8,2,0,2023-07-11T05:42:00,2023-07-11T18:00:00,0.47,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/12/2023,93.5,83.3,86,95.7,82.6,87.7,70.9,69.3,0.47,69,42.4,rain,0,0,14.5,9.7,145.9,1010.4,67.5,19.8,232.4,8.4,7,0,2023-07-12T05:32:00,2023-07-12T18:12:00,0.51,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm trung bình.",rain,VVTS
"Ho Chi Minh City, VN",7/13/2023,90.6,82.5,84.7,92.5,80.9,85.3,66.9,76.6,0,46,28.1,rain,0,0,22.4,13,91.1,1007.6,84.3,15.7,172.2,6.2,4,0,2023-07-13T05:40:00,2023-07-13T18:11:00,0.54,Partially cloudy,"Nắng, nhiệt độ vừa, độ ẩm trung bình.",partly-cloudy-day,VVTS
"Ho Chi Minh City, VN",7/14/2023,96.7,86.7,88.9,97.9,86,89,79.2,78.3,0.18,98,43.3,rain,0,0,14.4,8.2,11.6,1004.2,80.7,13.1,124.3,4.5,7,0,2023-07-14T05:32:00,2023-07-14T18:05:00,0.58,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm trung bình.",rain,VVTS
"Ho Chi Minh City, VN",7/15/2023,90.9,78.6,83.2,91.9,77.8,82.3,67.1,100,0.18,49,26.1,rain,0,0,23.8,14.9,168.7,1009,70.9,13.2,202.3,7.3,5,0,2023-07-15T05:43:00,2023-07-15T18:00:00,0.61,Partially cloudy,"Mưa, nhiệt độ vừa, độ ẩm cao.",partly-cloudy-day,VVTS
"Ho Chi Minh City, VN",7/16/2023,94.9,83.2,87,97.2,82,86.7,75.5,90.7,0.32,63,68.6,rain,0,0,21.3,14.4,201.9,1011.9,90.8,14.3,232.3,8.4,8,0,2023-07-16T05:48:00,2023-07-16T18:06:00,0.64,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/17/2023,93.5,84.6,87.9,95.2,83.6,89.6,72.1,73.9,0.69,99,77.5,rain,0,0,12,8,333.6,1010.2,69.6,14.8,198.4,7.1,1,0,2023-07-17T05:45:00,2023-07-17T18:10:00,0.68,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm trung bình.",rain,VVTS
"Ho Chi Minh City, VN",7/18/2023,89.9,83.2,85.6,91.2,83,85,71.2,83.9,0.78,59,53.7,rain,0,0,13.3,9,14.7,1006.6,96,13.4,194.6,7,3,0,2023-07-18T05:31:00,2023-07-18T18:16:00,0.71,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/19/2023,93.9,85.3,89.7,95.1,83.6,90.6,72.5,88.3,0.59,73,67.4,rain,0,0,15.2,10.9,75.4,1004.5,86.7,8.1,268.3,9.7,9,0,2023-07-19T05:48:00,2023-07-19T18:06:00,0.75,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/20/2023,92.1,80.8,85.3,93.1,79,86.6,73.8,81,0.5,71,39.1,rain,0,0,18.1,14.5,192.7,1005.4,92.7,12.9,91.2,3.3,5,0,2023-07-20T05:47:00,2023-07-20T18:14:00,0.78,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/21/2023,95.2,85.2,88.9,96.9,84.5,89.6,71.9,92.4,0.31,53,46.5,rain,0,0,22.5,13,2.7,1012.6,82.6,11.2,197.9,7.1,6,10,2023-07-21T05:44:00,2023-07-21T18:05:00,0.81,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/22/2023,95.5,84.1,87.6,98.2,82.7,88.8,74.3,97.9,0.17,73,78.4,rain,0,0,17.4,9.2,190.7,1011.3,97.7,18,200.6,7.2,4,10,2023-07-22T05:42:00,2023-07-22T18:10:00,0.85,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/23/2023,88.2,78.7,82.3,89.6,77.3,83,73.5,97.9,0.38,73,69.7,rain,0,0,12.6,8.9,306.3,1007.5,83.3,19.5,137.9,5,6,0,2023-07-23T05:37:00,2023-07-23T18:10:00,0.88,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/24/2023,93.7,83.9,86.5,95,82.3,86,71.9,70.3,0.73,80,49.6,rain,0,0,16.5,10.9,166.6,1006.5,100,18.2,121,4.4,6,0,2023-07-24T05:31:00,2023-07-24T18:13:00,0.92,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm trung bình.",rain,VVTS
"Ho Chi Minh City, VN",7/25/2023,86.6,77,81.2,87.9,75.3,82.3,68.3,99.5,1.92,82,67.6,rain,0,0,23.4,15.5,280.3,1008.8,85.8,13.7,292,10.5,5,0,2023-07-25T05:44:00,2023-07-25T18:03:00,0.95,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/26/2023,92.2,82.5,86.3,94.2,81.5,86.8,74.2,98.6,0.48,100,60,rain,0,0,14.6,8.6,103.7,1009.6,81.8,17.3,243.4,8.8,4,0,2023-07-26T05:41:00,2023-07-26T18:03:00,0.98,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/27/2023,88.9,82.4,84.6,91.6,80.5,83.9,75.4,98.4,0.16,65,71.9,rain,0,0,15.6,10.3,112.1,1013.2,96.5,10.9,165.5,6,7,0,2023-07-27T05:32:00,2023-07-27T18:19:00,0.02,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/28/2023,90.7,79.8,84.5,92.4,78.3,84.6,72,85.9,0.15,52,38.8,rain,0,0,14.2,4.8,130.5,1012.4,89.3,20.5,186.6,6.7,3,0,2023-07-28T05:37:00,2023-07-28T18:16:00,0.05,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",7/29/2023,89.3,80.4,83.7,91,79.5,85.1,69.4,79.1,0.37,91,44.7,rain,0,0,18.5,10.5,190,1013.8,71.6,23.4,199.1,7.2,5,0,2023-07-29T05:32:00,2023-07-29T18:09:00,0.08,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm trung bình.",rain,VVTS
"Ho Chi Minh City, VN",7/30/2023,89.5,80.4,84.4,90.5,80.1,84.6,69.2,87.3,0.18,75,41.6,rain,0,0,15.9,11.7,235,1008.3,88.4,13.9,240.7,8.7,4,0,2023-07-30T05:40:00,2023-07-30T18:15:00,0.12,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
